0.118,1.82248,2.91436,4.28971,6.32136
0.119,1.82677,2.92068,4.25694,6.26307
0.12,1.83103,2.92695,4.2247,6.20564
0.121,1.83525,2.93315,4.19299,6.14905
0.122,1.83944,2.9393,4.16178,6.09329
0.123,1.8436,2.9454,4.13107,6.03833
0.124,1.84774,2.95143,4.10085,5.98415
0.125,1.85184,2.95742,4.0711,5.93074
0.126,1.85591,2.96335,4.04181,5.87807
0.127,1.85995,2.96923,4.01298,5.82614
0.128,1.86396,2.97505,3.98459,5.77493
0.129,1.86795,2.98083,3.95663,5.72441
0.13,1.8719,2.98655,3.9291,5.67457
0.131,1.87583,2.99223,3.90198,5.62541
0.132,1.87974,2.99785,3.87527,5.57689
0.133,1.88361,3.00343,3.84895,5.52902
0.134,1.88746,3.00896,3.82302,5.48177
0.135,1.89128,3.01444,3.79747,5.43514
0.136,1.89508,3.01988,3.77229,5.3891
0.137,1.89885,3.02526,3.74748,5.34365
0.138,1.9026,3.03061,3.72302,5.29877
0.139,1.90632,3.03591,3.69891,5.25446
0.14,1.91002,3.04116,3.67514,5.21069
0.141,1.9137,3.04637,3.65171,5.16747
0.142,1.91735,3.05154,3.6286,5.12477
0.143,1.92098,3.05666,3.60581,5.08259
0.144,1.92458,3.06175,3.58334,5.04092
0.145,1.92817,3.06679,3.56118,4.99974
0.146,1.93173,3.07179,3.53932,4.95905
0.147,1.93527,3.07675,3.51776,4.91884
0.148,1.93878,3.08167,3.49649,4.87909
0.149,1.94228,3.08654,3.4755,4.83981
0.15,1.94576,3.09138,3.45479,4.80097
0.151,1.94921,3.09619,3.43436,4.76257
0.152,1.95265,3.10095,3.41419,4.72461
0.153,1.95606,3.10567,3.39429,4.68707
0.154,1.95945,3.11036,3.37465,4.64994
0.155,1.96283,3.11501,3.35526,4.61323
0.156,1.96618,3.11962,3.33612,4.57691
0.157,1.96952,3.1242,3.31722,4.54099
0.158,1.97284,3.12874,3.29857,4.50545
0.159,1.97614,3.13325,3.28015,4.47029
0.16,1.97942,3.13772,3.26196,4.43551
0.161,1.98268,3.14215,3.244,4.40109
0.162,1.98592,3.14655,3.22627,4.36702
0.163,1.98915,3.15092,3.20875,4.33331
0.164,1.99236,3.15525,3.19145,4.29995
0.165,1.99555,3.15955,3.17436,4.26692
0.166,1.99872,3.16382,3.15747,4.23423
0.167,2.00188,3.16805,3.1408,4.20187
0.168,2.00502,3.17226,3.12432,4.16982
0.169,2.00815,3.17643,3.10804,4.1381
0.17,2.01125,3.18056,3.09196,4.10668
0.171,2.01435,3.18467,3.07606,4.07557
0.172,2.01742,3.18875,3.06036,4.04476
0.173,2.02048,3.19279,3.04483,4.01424
0.174,2.02353,3.19681,3.02949,3.98402
0.175,2.02656,3.20079,3.01433,3.95408
0.176,2.02957,3.20474,2.99934,3.92442
0.177,2.03257,3.20867,2.98453,3.89503
0.178,2.03555,3.21256,2.96988,3.86592
0.179,2.03852,3.21643,2.9554,3.83708
0.18,2.04148,3.22027,2.94109,3.80849
0.181,2.04442,3.22407,2.92694,3.78016
0.182,2.04735,3.22785,2.91294,3.75209
0.183,2.05026,3.23161,2.89911,3.72427
0.184,2.05316,3.23533,2.88543,3.69669
0.185,2.05604,3.23903,2.87189,3.66936
0.186,2.05892,3.2427,2.85851,3.64226
0.187,2.06178,3.24634,2.84528,3.6154
0.188,2.06462,3.24995,2.83219,3.58876
0.189,2.06745,3.25354,2.81924,3.56236
0.19,2.07027,3.25711,2.80643,3.53617
0.191,2.07308,3.26064,2.79376,3.51021
0.192,2.07587,3.26415,2.78123,3.48446
0.193,2.07865,3.26764,2.76883,3.45892
0.194,2.08142,3.2711,2.75656,3.4336
0.195,2.08418,3.27453,2.74442,3.40848
0.196,2.08692,3.27794,2.73241,3.38357
0.197,2.08966,3.28132,2.72053,3.35885
0.198,2.09238,3.28468,2.70877,3.33433
0.199,2.09509,3.28801,2.69713,3.31001
0.2,2.09778,3.29132,2.68562,3.28587
0.201,2.10047,3.29461,2.67422,3.26193
0.202,2.10314,3.29787,2.66294,3.23817
0.203,2.1058,3.30111,2.65178,3.2146
0.204,2.10846,3.30432,2.64073,3.1912
0.205,2.1111,3.30752,2.62979,3.16798
0.206,2.11373,3.31068,2.61896,3.14494
0.207,2.11635,3.31383,2.60824,3.12207
0.208,2.11895,3.31695,2.59763,3.09937
0.209,2.12155,3.32005,2.58713,3.07683
0.21,2.12414,3.32313,2.57673,3.05446
0.211,2.12672,3.32618,2.56643,3.03226
0.212,2.12928,3.32921,2.55623,3.01021
0.213,2.13184,3.33222,2.54614,2.98832
0.214,2.13438,3.33521,2.53614,2.96659
0.215,2.13692,3.33818,2.52624,2.94501
0.216,2.13945,3.34112,2.51644,2.92359
0.217,2.14196,3.34405,2.50674,2.90231
0.218,2.14447,3.34695,2.49712,2.88118
0.219,2.14697,3.34983,2.4876,2.86019
0.22,2.14946,3.35269,2.47817,2.83935
0.221,2.15193,3.35553,2.46883,2.81865
0.222,2.1544,3.35835,2.45958,2.79809
0.223,2.15686,3.36115,2.45042,2.77766
0.224,2.15931,3.36393,2.44134,2.75738
0.225,2.16175,3.36668,2.43235,2.73722
0.226,2.16419,3.36942,2.42344,2.7172
0.227,2.16661,3.37214,2.41462,2.6973
0.228,2.16902,3.37483,2.40588,2.67754
0.229,2.17143,3.37751,2.39722,2.6579
0.23,2.17383,3.38017,2.38864,2.63839
0.231,2.17622,3.38281,2.38014,2.619
0.232,2.1786,3.38543,2.37171,2.59973
0.233,2.18097,3.38803,2.36337,2.58058
0.234,2.18333,3.39061,2.3551,2.56155
0.235,2.18569,3.39317,2.3469,2.54264
0.236,2.18803,3.39571,2.33878,2.52384
0.237,2.19037,3.39824,2.33074,2.50516
0.238,2.1927,3.40074,2.32276,2.48658
0.239,2.19503,3.40323,2.31486,2.46812
0.24,2.19734,3.4057,2.30702,2.44977
0.241,2.19965,3.40815,2.29926,2.43153
0.242,2.20195,3.41058,2.29157,2.41339
0.243,2.20424,3.41299,2.28394,2.39536
0.244,2.20652,3.41539,2.27638,2.37743
0.245,2.2088,3.41776,2.26889,2.35961
0.246,2.21107,3.42012,2.26146,2.34188
0.247,2.21333,3.42246,2.2541,2.32426
0.248,2.21558,3.42479,2.2468,2.30673
0.249,2.21783,3.4271,2.23956,2.2893
0.25,2.22007,3.42938,2.23239,2.27197
0.251,2.2223,3.43166,2.22528,2.25474
0.252,2.22453,3.43391,2.21823,2.23759
0.253,2.22674,3.43615,2.21124,2.22054
0.254,2.22896,3.43837,2.20431,2.20358
0.255,2.23116,3.44057,2.19744,2.18672
0.256,2.23336,3.44276,2.19063,2.16994
0.257,2.23555,3.44493,2.18388,2.15325
0.258,2.23773,3.44708,2.17718,2.13664
0.259,2.23991,3.44922,2.17054,2.12012
0.26,2.24208,3.45134,2.16395,2.10369
0.261,2.24424,3.45344,2.15742,2.08734
0.262,2.2464,3.45553,2.15094,2.07108
0.263,2.24855,3.4576,2.14452,2.05489
0.264,2.2507,3.45966,2.13815,2.03879
0.265,2.25283,3.4617,2.13184,2.02277
0.266,2.25497,3.46372,2.12557,2.00682
0.267,2.25709,3.46572,2.11936,1.99095
0.268,2.25921,3.46772,2.11319,1.97517
0.269,2.26132,3.46969,2.10708,1.95945
0.27,2.26343,3.47165,2.10102,1.94381
0.271,2.26553,3.47359,2.095,1.92825
0.272,2.26763,3.47552,2.08904,1.91276
0.273,2.26972,3.47744,2.08312,1.89734
0.274,2.2718,3.47933,2.07725,1.882
0.275,2.27388,3.48121,2.07143,1.86672
0.276,2.27595,3.48308,2.06565,1.85152
0.277,2.27801,3.48493,2.05992,1.83638
0.278,2.28007,3.48677,2.05424,1.82131
0.279,2.28213,3.48859,2.0486,1.80631
0.28,2.28418,3.4904,2.043,1.79138
0.281,2.28622,3.49219,2.03745,1.77651
0.282,2.28826,3.49396,2.03195,1.76171
0.283,2.29029,3.49573,2.02648,1.74697
0.284,2.29232,3.49747,2.02106,1.7323
0.285,2.29434,3.49921,2.01568,1.71769
0.286,2.29635,3.50092,2.01034,1.70314
0.287,2.29836,3.50263,2.00504,1.68865
0.288,2.30037,3.50432,1.99979,1.67422
0.289,2.30237,3.50599,1.99457,1.65986
0.29,2.30436,3.50765,1.9894,1.64555
0.291,2.30635,3.50929,1.98426,1.6313
0.292,2.30834,3.51093,1.97916,1.61711
0.293,2.31032,3.51254,1.97411,1.60298
0.294,2.31229,3.51415,1.96909,1.5889
0.295,2.31426,3.51574,1.9641,1.57488
0.296,2.31622,3.51731,1.95916,1.56092
0.297,2.31818,3.51887,1.95425,1.54701
0.298,2.32014,3.52042,1.94938,1.53315
0.299,2.32209,3.52195,1.94455,1.51935
0.3,2.32403,3.52347,1.93975,1.5056
0.301,2.32597,3.52498,1.93498,1.4919
0.302,2.3279,3.52647,1.93026,1.47826
0.303,2.32984,3.52795,1.92556,1.46466
0.304,2.33176,3.52941,1.9209,1.45112
0.305,2.33368,3.53086,1.91628,1.43762
0.306,2.3356,3.5323,1.91169,1.42418
0.307,2.33751,3.53372,1.90713,1.41079
0.308,2.33942,3.53513,1.90261,1.39744
0.309,2.34132,3.53653,1.89812,1.38414
0.31,2.34322,3.53792,1.89366,1.37089
0.311,2.34511,3.53929,1.88923,1.35768
0.312,2.347,3.54064,1.88484,1.34453
0.313,2.34889,3.54199,1.88047,1.33141
0.314,2.35077,3.54332,1.87614,1.31834
0.314999,2.35264,3.54464,1.87184,1.30532
0.315999,2.35451,3.54594,1.86757,1.29234
0.316999,2.35638,3.54724,1.86332,1.27941
0.317999,2.35824,3.54852,1.85911,1.26652
0.318999,2.3601,3.54978,1.85493,1.25367
0.319999,2.36196,3.55104,1.85078,1.24086
0.320999,2.36381,3.55228,1.84665,1.2281
0.321999,2.36566,3.55351,1.84256,1.21537
0.322999,2.3675,3.55472,1.83849,1.20269
0.323999,2.36934,3.55592,1.83445,1.19005
0.324999,2.37117,3.55711,1.83044,1.17744
0.325999,2.373,3.55829,1.82646,1.16488
0.326999,2.37483,3.55946,1.8225,1.15236
0.327999,2.37665,3.56061,1.81857,1.13987
0.328999,2.37847,3.56175,1.81467,1.12743
0.329999,2.38028,3.56288,1.81079,1.11502
0.330999,2.38209,3.56399,1.80694,1.10265
0.331999,2.3839,3.56509,1.80311,1.09031
0.332999,2.3857,3.56618,1.79932,1.07802
0.333999,2.3875,3.56726,1.79554,1.06575
0.334999,2.3893,3.56833,1.79179,1.05353
0.335999,2.39109,3.56938,1.78807,1.04134
0.336999,2.39288,3.57042,1.78437,1.02918
0.337999,2.39466,3.57145,1.78069,1.01706
0.338999,2.39644,3.57247,1.77704,1.00498
0.339999,2.39822,3.57347,1.77341,0.992927
0.340999,2.4,3.57447,1.76981,0.980909
0.341999,2.40176,3.57545,1.76623,0.968924
0.342999,2.40353,3.57642,1.76267,0.956973
0.343999,2.40529,3.57737,1.75913,0.945053
0.344999,2.40705,3.57832,1.75562,0.933166
0.345999,2.40881,3.57925,1.75213,0.921311
0.346999,2.41056,3.58017,1.74866,0.909487
0.347999,2.41231,3.58108,1.74521,0.897694
0.348999,2.41405,3.58198,1.74179,0.885932
0.349999,2.4158,3.58287,1.73839,0.874201
0.350999,2.41753,3.58374,1.735,0.8625
0.351999,2.41927,3.5846,1.73164,0.850829
0.352999,2.421,3.58545,1.7283,0.839187
0.353999,2.42273,3.58629,1.72498,0.827575
0.354999,2.42445,3.58712,1.72168,0.815992
0.355999,2.42618,3.58794,1.7184,0.804437
0.356999,2.42789,3.58874,1.71514,0.792911
0.357999,2.42961,3.58953,1.7119,0.781412
0.358999,2.43132,3.59031,1.70868,0.769942
0.359999,2.43303,3.59108,1.70547,0.758499
0.360999,2.43474,3.59184,1.70229,0.747083
0.361999,2.43644,3.59259,1.69913,0.735694
0.362999,2.43814,3.59333,1.69598,0.724332
0.363999,2.43983,3.59405,1.69285,0.712996
0.364999,2.44153,3.59476,1.68974,0.701687
0.365999,2.44322,3.59546,1.68665,0.690403
0.366999,2.4449,3.59616,1.68358,0.679145
0.367999,2.44659,3.59683,1.68052,0.667912
0.368999,2.44827,3.5975,1.67748,0.656704
0.369999,2.44994,3.59816,1.67446,0.645521
0.370999,2.45162,3.5988,1.67146,0.634362
0.371999,2.45329,3.59944,1.66847,0.623228
0.372999,2.45496,3.60006,1.6655,0.612118
0.373999,2.45662,3.60067,1.66254,0.601032
0.374999,2.45829,3.60128,1.6596,0.58997
0.375999,2.45995,3.60187,1.65668,0.578931
0.376999,2.4616,3.60244,1.65377,0.567915
0.377999,2.46326,3.60301,1.65088,0.556922
0.378999,2.46491,3.60357,1.648,0.545951
0.379999,2.46656,3.60412,1.64514,0.535003
0.380999,2.4682,3.60465,1.6423,0.524078
0.381999,2.46984,3.60517,1.63946,0.513174
0.382999,2.47148,3.60569,1.63665,0.502293
0.383999,2.47312,3.60619,1.63385,0.491433
0.384999,2.47475,3.60668,1.63106,0.480594
0.385999,2.47638,3.60716,1.62829,0.469777
0.386999,2.47801,3.60763,1.62553,0.458981
0.387999,2.47964,3.60809,1.62278,0.448206
0.388999,2.48126,3.60854,1.62005,0.437451
0.389999,2.48288,3.60898,1.61733,0.426717
0.390999,2.4845,3.6094,1.61462,0.416003
0.391998,2.48611,3.60982,1.61193,0.40531
0.392998,2.48772,3.61022,1.60925,0.394636
0.393998,2.48933,3.61062,1.60659,0.383982
0.394998,2.49094,3.611,1.60393,0.373348
0.395998,2.49254,3.61138,1.60129,0.362733
0.396998,2.49415,3.61174,1.59866,0.352138
0.397998,2.49574,3.61209,1.59605,0.341561
0.398998,2.49734,3.61243,1.59344,0.331004
0.399998,2.49893,3.61276,1.59085,0.320465
0.400998,2.50052,3.61308,1.58827,0.309945
